"Section","Description","Turn 1","Turn 2","Turn 3","Turn 4","Turn 5","Turn 6","Turn 7","Turn 8","Turn 9","Turn 10","Turn 11","Turn 12"
"Executive Dashboard","Overview of overall performance","","","","","","","","","","",""
"Strategic Decisions","Key decisions taken during turns","","","","","","","","","","",""
"Financial Performance","Metrics on revenue, costs, profits","","","","","","","","","","",""
"Sales and Market Data","Sales performance and market share analysis","","","","","","","","","","",""
"Production Metrics","Metrics regarding production efficiency and output","","","","","","","","","","",""
"Pricing Strategy","Overview of pricing strategies and changes","","","","","","","","","","",""
"Marketing and R&D","Investment in marketing and research & development","","","","","","","","","","",""
"Competitor Analysis","Analysis of competitors’ performance","","","","","","","","","","",""
"Ratios and Indicators","Financial ratios and performance indicators","","","","","","","","","","",""
"Synthesis and Recommendations","Overall analysis and key recommendations","","","","","","","","","","",""
"Trends","Identified trends across turns","","","","","","","","","","",""
